Positionsachse	 Global	
Werteachse	Global	
x(mm)	y(mm)	z(mm)	Wert(MPa)	
-2,89547	64,7411	9,4593	89,8046	
-2,89547	59,9677	9,79309	88,5227	
-2,89547	57,1975	9,9868	87,274	
-3,0039	123,977	5,32852	104,798	
-4,39564	132,751	4,86162	82,7634	
-5,75168	137,896	3,14994	45,7363	
-5,70022	137,715	-3,34523	48,9168	
-2,99645	123,864	-5,33569	105,325	
-4,17595	131,848	-4,90163	84,1972	
-2,89547	116,484	-5,84106	105,325	
-2,89547	100,96	-6,92663	98,533	
-2,89547	86,1625	-7,96137	97,9782	
-2,89547	78,9086	-8,46861	95,9629	
-2,89547	70,4461	-9,06036	92,0854	
-2,89547	61,2631	-9,7025	88,5735	
-3,85992	45,3954	-10,9137	66,0142	
-3,2838	48,9127	-10,607	76,2552	
-2,96019	52,5518	-10,3185	82,4045	
-8	129,649	-5,45834	95,7256	
-8	124,689	-5,80517	104,817	
-8	117,193	-6,32934	104,921	
-8	110,775	-6,77809	101,849	
-8	99,6896	-7,55328	97,0613	
-8	93,9962	-7,9514	95,9173	
-8	87,07	-8,43573	98,3117	
-8	80,4573	-8,89813	96,5565	
-8	74,7278	-9,29878	94,1735	
-8	64,0249	-10,0472	89,065	
-8	55,1973	-10,6645	85,0127	
-8	49,2454	-11,0807	76,4156	
-6,16649	36,4625	-7,83082	37,0157	
-6,14096	36,4716	2,60811	39,3507	
-6,14096	36,4716	-2,60811	39,8801	
-6,21699	36,3038	7,33745	34,4226	
0	5,40283	-36,5	4,15092	
0	11,8729	-36,5	3,31201	
0	17,9031	-36,5	1,86707	
0	22,7749	-36,5	0,878828	
2,63275	22,7749	-32,0617	2,66734	
2,63275	18,1239	-32,0617	3,51733	
2,63275	12,3541	-32,0617	4,54374	
2,63275	5,3293	-32,0617	4,96773	
0	4,8937	-30,5	5,2398	
0	11,4439	-30,5	5,42013	
0	19,0249	-30,5	4,52887	
0	22,1743	-30,5	4,11026	
0	25,3236	-30,5	3,57835	
2,63275	22,3621	32,0617	2,84266	
2,63275	17,1156	32,0617	3,97479	
2,63275	9,81948	32,0617	4,60017	
2,63275	4,63412	32,0617	5,10912	
0	5,39204	36,5	4,20351	
0	12,9344	36,5	3,13591	
0	18,0578	36,5	1,83266	
0	22,5749	36,5	1,01453	
0	5,52809	30,5	5,55503	
0	10,4037	30,5	5,18375	
0	17,3828	30,5	4,81902	
0	21,8275	30,5	4,27826	
0	25,0901	30,5	3,37079	
5,37358	36,9452	-7,22594	41,6987	
5,31174	37,1057	2,6796	49,0982	
5,30626	37,12	-2,48456	48,3016	
5,40377	36,8674	6,94325	42,3147	
3,18693	44,1702	10,0082	62,3629	
2,43957	48,3846	9,64224	72,7832	
